OBJECTID,NAZEV,POC_OBYV_2021,VZDEL_ZADNE,VZDEL_NEZJISTENO,VZDEL_ZAKLADNI,VZDEL_STREDNI,VZDEL_STR_S_MATUR,VZDEL_VOS,VZDEL_VYSOKOSK,Shape_Length,Shape_Area,BEZ_MATURITY
1,Benešov,100347,563,4062,9614,28126,27604,1353,11941,215243.7785,1473754031,0.381705482
2,Beroun,98073,380,4342,9242,24956,26651,1374,13374,139171.3337,702976699.7,0.352574103
3,Blansko,107227,398,3576,10272,30976,27968,1758,14207,160722.0852,861624341.2,0.388390984
4,Bøeclav,113651,575,5054,14670,34489,27780,1059,12258,185229.5743,1037186273,0.437602837
5,Brno-mìsto,398510,1330,16852,31454,67607,107116,5933,107879,84357.66987,229884570.1,0.251915887
6,Brno-venkov,226503,706,8129,21816,58881,56620,2877,35711,330105.4597,1499711815,0.359390383
7,Bruntál,86215,813,5166,11729,27319,20328,598,7426,236140.0909,1537698278,0.46234414
8,Èeská Lípa,100959,811,6326,13067,31913,23550,958,7923,157473.5581,1072102087,0.453560356
9,Èeské Budìjovice,196897,765,8542,18656,47663,52769,2751,32998,241047.7921,1636323185,0.340706054
10,Èeský Krumlov,59118,370,3602,7751,17648,13809,606,5497,214871.4117,1612266511,0.43589093
11,Cheb,86411,859,6456,12435,24734,20901,900,6655,232234.3536,1045714402,0.44008286
12,Chomutov,119240,1409,8586,17927,34333,27746,1259,9030,165940.877,936232860.6,0.450092251
13,Chrudim,102743,627,4369,11134,32503,25718,1446,10450,152107.0862,992514940.6,0.430822538
14,Dìèín,124026,1374,9116,17649,36535,29336,1098,8890,178296.6407,908492900.9,0.447954461
15,Domažlice,53769,283,3046,6414,16874,13576,659,4284,168586.747,1051866305,0.438375272
16,Frýdek-Místek,209322,952,8042,21403,57151,55827,1992,29917,159839.2186,1209767790,0.379826296
17,Havlíèkùv Brod,92907,351,3242,9340,28488,25115,1670,9855,175696.1062,1263886052,0.41093782
18,Hlavní mìsto Praha,1301432,3916,66843,85743,187884,361420,24906,371351,111354.6305,496059886.9,0.213259702
19,Hodonín,147773,819,6084,18380,47477,36753,1323,15209,189726.4891,1098426914,0.451205565
20,Hradec Králové,163175,674,7056,14982,39596,46385,2342,26420,156945.5665,891856280.5,0.338605791
21,Jablonec nad Nisou,89446,601,5181,10391,24968,22826,1002,9768,110098.391,438038939.5,0.402030275
22,Jeseník,35471,315,2133,4677,11432,8192,293,3251,135324.9421,718628623.6,0.463026134
23,Jièín,78704,419,3638,8523,24288,20426,1082,8027,153683.1775,885782901.5,0.422214881
24,Jihlava,111324,462,4592,11465,33418,28896,1329,12878,199043.626,1199078567,0.407324566
25,Jindøichùv Hradec,87256,475,3930,10315,27783,21713,978,8719,309809.8876,1942371893,0.442067021
26,Karlovy Vary,108705,1011,7018,14184,30601,27510,1500,10857,211211.1432,1509751206,0.421286969
27,Karviná,235579,1809,13834,30142,70936,57607,1907,24807,95891.09434,356749479.5,0.436740966
28,Kladno,166771,1048,8945,19102,42052,44981,2479,20322,131414.499,719208684.1,0.372978515
29,Klatovy,83658,368,4066,9497,25668,21734,1027,8691,228721.8434,1944847583,0.424741208
30,Kolín,104227,597,4954,11263,27891,28132,1545,11763,177074.2526,748750690,0.3813887
31,Kromìøíž,102140,544,4137,10952,31337,25945,1245,12189,194080.9444,796061116.3,0.419355786
32,Kutná Hora,74918,391,3472,7705,21902,20388,1146,8054,150724.6856,916492953.9,0.400411116
33,Liberec,174225,1096,10469,18849,46233,43932,1945,22708,194686.7053,988849708.4,0.379842158
34,Litomìøice,117400,796,6050,14639,33469,29985,1289,11988,148916.8606,1031603231,0.416558773
35,Louny,84956,802,5355,11856,24675,20295,845,7304,204755.4839,1119582362,0.439439239
36,Mìlník,110243,533,5595,11986,30292,29264,1464,12055,150364.9032,701071362.3,0.388333046
37,Mladá Boleslav,128901,651,7684,12719,35228,34180,1691,15111,166500.2514,1022302723,0.377018022
38,Most,105165,1343,8106,16076,29890,23632,1067,8361,120413.404,467094903,0.44985499
39,Náchod,105314,531,5262,12002,31801,27821,1215,10155,180085.5405,850473128.9,0.420969672
40,Nový Jièín,146366,805,6200,16015,43398,36761,1715,17355,146767.65,882174509.1,0.411420685
41,Nymburk,102727,451,4622,10733,27736,27398,1508,12317,148154.3317,844677555.9,0.378868262
42,Olomouc,237291,1172,9720,23779,58858,62478,3082,39357,231515.1901,1606935000,0.353190808
43,Opava,171502,1022,6591,19470,50930,41966,1494,22348,195007.5402,1116125280,0.416449954
44,Ostrava-mìsto,313857,2106,18659,36727,79114,77530,3197,49609,99152.3788,331440432.5,0.375798532
45,Pardubice,173206,683,8062,16121,44785,47408,2300,25714,157621.9403,878880698.4,0.35558237
46,Pelhøimov,70785,379,3017,7155,22130,18978,943,7511,172546.2308,1289697961,0.419071837
47,Písek,69986,348,3277,7330,20049,19079,956,8220,172911.8216,1125423621,0.396179236
48,Plzeò-jih,69213,435,3176,8302,21902,16918,838,6516,196150.6181,1066563620,0.442676954
49,Plzeò-mìsto,193858,825,10579,17805,42472,54999,3358,34646,86832.2368,261105963.9,0.315189469
50,Plzeò-sever,79917,343,3561,9388,24511,19620,885,8251,221728.5965,1287038131,0.428469537
51,Prachatice,49379,292,2678,5835,15091,12062,633,4905,195329.6914,1376422045,0.429696835
52,Praha-východ,197477,608,7486,16554,38392,52477,3326,36994,229286.8681,754854223.3,0.281318837
